sessionId,eventId,seasonYear,eventName,trackName,trackType,sessionType,sessionName,bryceLapCount,bryceSectionObservations,comparisonRows,medianTrackSectionPercentile,topQuartileTrackSectionShare,bottomQuartileTrackSectionShare,bestSectionFamilies,weakestSectionFamilies,bestLapRank,topSectionBryceRows,sourceState,sourceHash
session_indy_nxt_2024_6328,event_indy_nxt_2024_5480,2024,Grand Prix of St. Petersburg,Streets of St. Petersburg,street,practice,Practice 1,14,183,112,0.5556,0.1161,0.2054,Turn 9a:0.64 n=14; Turns 2/3:0.61 n=14; Turns 11/12:0.61 n=14; Turns 5-8:0.60 n=14,Turn 9:0.42 n=14; Turn 4:0.44 n=14; Turn 1:0.52 n=14; Turn 10:0.56 n=14,18,28,official_section_results+official_top_section_times,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2024_6329,event_indy_nxt_2024_5480,2024,Grand Prix of St. Petersburg,Streets of St. Petersburg,street,practice,Practice 2,25,383,198,0.6842,0.3434,0.1263,Turns 11/12:0.82 n=22; Turn 9a:0.77 n=22; Turns 5-8:0.70 n=22; Turn 10:0.69 n=22,Turn 1:0.34 n=22; Turn 4:0.55 n=22; Turns 2/3:0.62 n=22; Turns 13/14:0.66 n=22,11,28,official_section_results+official_top_section_times,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2024_6346,event_indy_nxt_2024_5480,2024,Grand Prix of St. Petersburg,Streets of St. Petersburg,street,qualifying,Qualifications - Group 2,6,117,52,0.6333,0.3846,0.0385,,,4,28,official_section_results+official_top_section_times,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2024_6354,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 1,21,292,190,0.5563,0.2474,0.1947,Turn 17:0.71 n=19; Turn 10:0.70 n=19; Turn 7:0.65 n=19; Turn 11:0.65 n=19,Turns 14-16:0.43 n=19; Turns 12-13:0.45 n=19; Turn 4:0.50 n=19; Turns 8-9:0.50 n=19,4,29,official_section_results+official_top_section_times,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2024_6355,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 2,20,318,190,0.645,0.4,0.1737,Turn 11:0.79 n=19; Turns 1-3:0.78 n=19; Turns 5-6:0.78 n=19; Turn 17:0.67 n=19,Turns 8-9:0.47 n=19; Turn 4:0.55 n=19; Turn 7:0.58 n=19; Turn 10:0.63 n=19,7,29,official_section_results+official_top_section_times,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2024_6357,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,qualifying,Qualifications - Group 2,9,129,90,0.6667,0.4667,0.1222,Turn 17:0.89 n=9; Turn 7:0.89 n=9; Turns 1-3:0.78 n=9; Turns 14-16:0.67 n=9,Turn 4:0.56 n=9; Turns 8-9:0.56 n=9; Turns 14-16:0.67 n=9; Turns 5-6:0.67 n=9,4,26,official_section_results+official_top_section_times,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2024_6365,event_indy_nxt_2024_5471,2024,Indianapolis Grand Prix Race 1,Indianapolis Motor Speedway Road Course,road,practice,Practice,26,361,234,0.6,0.3162,0.1838,Turn 11:0.72 n=26; Turn 12/13:0.71 n=26; Turn 1/2:0.65 n=26; Turn 8/9:0.59 n=26,Turn 3:0.55 n=26; Turn 4/5/6 Backstretch:0.56 n=26; Turn 14:0.56 n=26; Turn 10:0.56 n=26,3,36,official_section_results+official_top_section_times,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2024_6367,event_indy_nxt_2024_5471,2024,Indianapolis Grand Prix Race 1,Indianapolis Motor Speedway Road Course,road,qualifying,Qualifications - Race 1 Group 2,10,132,81,0.6,0.2963,0.1111,Turn 1/2:0.90 n=9; Turn 12/13:0.80 n=9; Turn 11:0.75 n=10; Turn 7:0.60 n=9,Turn 3:0.30 n=9; Turn 14:0.40 n=9; Turn 4/5/6 Backstretch:0.50 n=9; Turn 10:0.50 n=9,6,33,official_section_results+official_top_section_times,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2024_6390,event_indy_nxt_2024_5481,2024,Indianapolis Grand Prix Race 2,Indianapolis Motor Speedway Road Course,road,qualifying,Qualifications - Race 2 Group 2,10,132,81,0.6,0.2963,0.1111,Turn 1/2:0.90 n=9; Turn 12/13:0.80 n=9; Turn 11:0.75 n=10; Turn 7:0.60 n=9,Turn 3:0.30 n=9; Turn 14:0.40 n=9; Turn 4/5/6 Backstretch:0.50 n=9; Turn 10:0.50 n=9,6,33,official_section_results+official_top_section_times,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2024_6391,event_indy_nxt_2024_5482,2024,Detroit Grand Prix,Streets of Detroit,street,practice,Practice 1,19,449,304,0.5882,0.3092,0.1941,I9 to I10:0.85 n=19; I5 to I6:0.78 n=19; I4 to I5:0.75 n=19; I7 to I8:0.72 n=19,I15 to I16:0.32 n=19; I14 to I15:0.40 n=19; Back Str 2:0.42 n=19; I2 to I3:0.45 n=19,16,35,official_section_results+official_top_section_times,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
