metricId,metricType,scope,seriesId,seriesName,seasonYear,eventId,eventName,sessionId,sessionType,sessionName,driverId,driverName,calculationVersion,confidence,formula,inputRefCount,provenanceRefCount,nestedEntityCount,metricHeadline,metricDetail,sourceState,sourceHash
metric_team_usa_2020_scholarship_selection,career_award,career,global_context,Global / career context,,,,,,,driver_bryce_aron,Bryce Aron,official_team_usa_direct_extract_v1,official,Direct structured extraction from Team USA Scholarship winners announcement; no derived calculation.,1,1,4,Team USA Scholarship winner,"{'award': 'Team USA Scholarship winner', 'year': 2020, 'coWinners': ['Jackson Lee', 'Simon Sikes'], 'plannedEventFamilies': ['Formula Ford Festival', 'Walter Hayes Trophy', 'Avon National Formula Ford 1600']}",structured_career_metric_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
metric_team_usa_2020_bkc_tag_jr_champion,karting_championship_milestone,career,global_context,Global / career context,,,,,,,driver_bryce_aron,Bryce Aron,official_team_usa_direct_extract_v1,official,Direct structured extraction from Team USA Scholarship Bryce Aron driver blog; no derived calculation.,1,1,3,karting milestone,"{'championship': 'BKC TaG Jr. Championship', 'position': 1, 'year': 2018}",structured_career_metric_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
metric_team_usa_2020_yamaha_kt100_runner_up,karting_championship_milestone,career,global_context,Global / career context,,,,,,,driver_bryce_aron,Bryce Aron,official_team_usa_direct_extract_v1,official,Direct structured extraction from Team USA Scholarship Bryce Aron driver blog; no derived calculation.,1,1,3,karting milestone,"{'championship': 'Yamaha KT100 championship', 'position': 2, 'year': 2018}",structured_career_metric_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
metric_badger_kart_club_2016_yamaha_junior_fast_time,karting_fast_time,career,global_context,Global / career context,,,,,,,driver_bryce_aron,Bryce Aron,official_badger_kart_club_direct_extract_v1,official,Direct structured extraction from official Badger Kart Club fast-times table; no derived calculation.,1,1,7,Badger Kart Club Yamaha Junior,track=Badger Kart Club; lapTime=40.536; date=2016-08-06,structured_career_metric_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
metric_badger_kart_club_2017_classic_tag_junior_fast_time,karting_fast_time,career,global_context,Global / career context,,,,,,,driver_bryce_aron,Bryce Aron,official_badger_kart_club_direct_extract_v1,official,Direct structured extraction from official Badger Kart Club Classic Track fast-times table; no derived calculation.,1,1,7,Badger Kart Club TaG Junior,track=Badger Kart Club; lapTime=38.938; date=2017-06-11,structured_career_metric_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
metric_badger_kart_club_2017_bus_stop_tag_junior_track_record,karting_track_record,career,global_context,Global / career context,,,,,,,driver_bryce_aron,Bryce Aron,official_badger_kart_club_direct_extract_v1,official,Direct structured extraction from official Badger Kart Club Bus Stop track-record table; no derived calculation.,1,1,7,Badger Kart Club TaG Junior,track=Badger Kart Club; lapTime=39.070; date=2017-10-09,structured_career_metric_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
metric_team_usa_2020_frp_f1600_podiums_context,season_context_milestone,career,global_context,Global / career context,,,,,,,driver_bryce_aron,Bryce Aron,official_team_usa_direct_extract_v1,official,Direct structured extraction from Team USA Scholarship Bryce Aron driver blog; no derived calculation.,1,1,4,season context milestone,"{'series': 'FRP F1600 Championship Series', 'championshipPosition': 3, 'podiums': 8, 'year': 2019}",structured_career_metric_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
metric_indy_nxt_2024_6326_event_summary_race_stats,official_event_summary_race_stats,session,series_indy_nxt,INDY NXT,2024,event_indy_nxt_2024_5482,Detroit Grand Prix,session_indy_nxt_2024_6326,race,Race,,,official_pdf_direct_extract_v1,official,Direct extraction from official INDY NXT Event Summary PDF race-stat fields; no derived calculation.,1,1,7,45 total laps; 206 total passes; 13 caution laps,greenLaps=32; positionPasses=112; leadChanges=0,official_derived_metric_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
metric_indy_nxt_2024_6326_leader_lap_summary,official_leader_lap_summary,session,series_indy_nxt,INDY NXT,2024,event_indy_nxt_2024_5482,Detroit Grand Prix,session_indy_nxt_2024_6326,race,Race,,,official_pdf_direct_extract_v1,official,Direct extraction from official INDY NXT Leader Lap Summary PDF rows; no derived calculation.,1,1,45,45 leader-lap rows,"leaders=Foster, Louis",official_derived_metric_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
metric_indy_nxt_2024_6326_section_results,official_section_results,session,series_indy_nxt,INDY NXT,2024,event_indy_nxt_2024_5482,Detroit Grand Prix,session_indy_nxt_2024_6326,race,Race,,,official_pdf_direct_extract_v1,official,Direct extraction from official INDY NXT Section Results PDF per-car section time and speed rows; no derived calculation.,1,1,1751,22 sections across 118 cars,carLapRows=1751,official_derived_metric_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
metric_indy_nxt_2024_6391_section_results,official_section_results,session,series_indy_nxt,INDY NXT,2024,event_indy_nxt_2024_5482,Detroit Grand Prix,session_indy_nxt_2024_6391,practice,Practice 1,,,official_pdf_direct_extract_v1,official,Direct extraction from official INDY NXT Section Results PDF per-car section time and speed rows; no derived calculation.,1,1,1029,22 sections across 80 cars,carLapRows=1029,official_derived_metric_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
metric_indy_nxt_2024_6392_section_results,official_section_results,session,series_indy_nxt,INDY NXT,2024,event_indy_nxt_2024_5482,Detroit Grand Prix,session_indy_nxt_2024_6392,practice,Practice 2,,,official_pdf_direct_extract_v1,official,Direct extraction from official INDY NXT Section Results PDF per-car section time and speed rows; no derived calculation.,1,1,1079,22 sections across 78 cars,carLapRows=1079,official_derived_metric_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
